id,Brands,sites,Targeting,Название креатива,Ad copy format,Rotation type,Duration,Skippable,Sound,Start date,Stop date,Impression (plan),Frequency (Fact),Reach 1+ (fact),Impressions (fact),Impressions (delta),Click (fact),CTR % (fact),Viewable impressions (fact),Viewability rate % (fact),Views 25%,Views 50%,Views 75%,Views 100%,25%,25% sec,50%,50% (sec),75%,75% (sec),100%,100% sec
84,Бренд 5,Hyper,W w/kids 3-5.   All Russia,,in games,CPM,15,70% unskippable,sound on,9.10.2023,15.10.2023,3000000,2.0,1470122,2892438,-4%,63847,2.21%,3240368,112%,3840463,3560404,3400368,3240368,133%,3.8,123%,7.5,118%,11.3,112%,15.0
16,Бренд 5,VK (Mytarget),W w/kids 3-5.   All Russia,,pre-rolls,CPM,15,unskippable,sound on,25.9.2023,30.9.2023,1750000,6.0,1979075,11866155,578%,122767,1.03%,12329878,104%,14153168,13073158,12681823,12329878,119%,3.8,110%,7.5,107%,11.3,104%,15.0
58,Бренд 2,VK (Mytarget),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound on,2.10.2023,8.10.2023,1375000,1.4,773340,1088517,-21%,10201,0.94%,1077590,99%,799372,644940,596913,1077590,73%,3.8,59%,7.5,55%,11.3,99%,15.0
286,Бренд 1,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound on,30.10.2023,31.10.2023,1125000,1.7,654191,1125000,0%,13865,1.23%,1093053,97%,1111594,1105883,1099552,1093053,99%,3.8,98%,7.5,98%,11.3,97%,15.0
422,Бренд 4 ,VK (NativeRoll),"""Женщины 25-45 с детьми, десктоп+мобайл, частота = 2 в неделю, гео РФ"",""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,10,unskippable,sound on,27.11.2023,30.11.2023,1714286,1.6,959589,1557593,-9%,20531,1.32%,1510992,97%,1536618,1527939,1520307,1510992,99%,2.5,98%,5.0,98%,7.5,97%,10.0
376,Бренд 2,Programmatica,"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,15,skippable as of sec 10,sound on,25.12.2023,31.12.2023,1333333,4.1,399953,1630839,22%,8173,0.50%,1580061,97%,1620134,1608654,1594585,1580061,99%,3.8,99%,7.5,98%,11.3,97%,15.0
288,Бренд 1,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound on,1.11.2023,5.11.2023,3375000,1.8,1844285,3375000,0%,41199,1.22%,3265960,97%,3324826,3306259,3286214,3265960,99%,3.8,98%,7.5,97%,11.3,97%,15.0
280,Бренд 4 ,VK (NativeRoll),"""Женщины 25-45 с детьми, десктоп+мобайл, частота = 2 в неделю, гео РФ"",""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,10,unskippable,sound on,13.11.2023,19.11.2023,3000000,1.8,1647822,2998546,-0%,36495,1.22%,2889323,96%,2939174,2921477,2906578,2889323,98%,2.5,97%,5.0,97%,7.5,96%,10.0
205,Бренд 2,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound off,30.10.2023,5.11.2023,4125000,1.8,2338402,4125000,0%,54675,1.33%,3967891,96%,4050028,4023504,3995713,3967891,98%,3.8,98%,7.5,97%,11.3,96%,15.0
407,Бренд 1,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound on,27.11.2023,30.11.2023,3428571,1.6,1907765,3056279,-11%,40970,1.34%,2939214,96%,3007767,2987193,2964935,2939214,98%,3.8,98%,7.5,97%,11.3,96%,15.0
207,Бренд 2,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound off,6.11.2023,12.11.2023,4125000,1.9,2211605,4125000,0%,54242,1.31%,3966984,96%,4048018,4021605,3994308,3966984,98%,3.8,97%,7.5,97%,11.3,96%,15.0
319,Бренд 2,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound off,27.11.2023,30.11.2023,2357143,1.8,1327601,2354167,-0%,29872,1.27%,2261208,96%,2311704,2295443,2279139,2261208,98%,3.8,98%,7.5,97%,11.3,96%,15.0
290,Бренд 1,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound on,13.11.2023,19.11.2023,6000000,2.3,2583826,6000000,0%,70418,1.17%,5760449,96%,5887796,5848025,5806272,5760449,98%,3.8,97%,7.5,97%,11.3,96%,15.0
146,Бренд 2,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound off,23.10.2023,29.10.2023,4125000,1.7,2390179,4119289,-0%,58365,1.42%,3951896,96%,4041204,4012072,3982413,3951896,98%,3.8,97%,7.5,97%,11.3,96%,15.0
105,Бренд 1,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound on,9.10.2023,15.10.2023,6706912,2.6,2592824,6699345,-0%,81843,1.22%,6426785,96%,6579375,6530626,6481196,6426785,98%,3.8,97%,7.5,97%,11.3,96%,15.0
90,Бренд 4 ,VK (NativeRoll),"""Женщины 25-45 с детьми, десктоп+мобайл, частота = 2 в неделю, гео РФ"",""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound on,9.10.2023,15.10.2023,3712500,2.3,1615841,3711389,-0%,48697,1.31%,3557111,96%,3646252,3617878,3589215,3557111,98%,3.8,97%,7.5,97%,11.3,96%,15.0
282,Бренд 4 ,VK (NativeRoll),"""Женщины 25-45 с детьми, десктоп+мобайл, частота = 2 в неделю, гео РФ"",""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,10,unskippable,sound on,20.11.2023,26.11.2023,3000000,1.8,1684238,2998814,-0%,39074,1.30%,2869656,96%,2938615,2916015,2896523,2869656,98%,2.5,97%,5.0,97%,7.5,96%,10.0
121,Бренд 1,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound on,16.10.2023,22.10.2023,1676728,1.6,1080327,1675086,-0%,25289,1.51%,1602661,96%,1633137,1622610,1613164,1602661,97%,3.8,97%,7.5,96%,11.3,96%,15.0
137,Бренд 1,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound on,23.10.2023,29.10.2023,1676728,1.5,1090345,1676725,-0%,23483,1.40%,1604066,96%,1634550,1624020,1614637,1604066,97%,3.8,97%,7.5,96%,11.3,96%,15.0
365,Бренд 2,Programmatica,"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,15,skippable as of sec 10,sound on,18.12.2023,24.12.2023,1333333,1.0,1276092,1315567,-1%,3152,0.24%,1253367,95%,1303482,1290225,1276092,1253367,99%,3.8,98%,7.5,97%,11.3,95%,15.0
387,Бренд 2,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound off,1.1.2024,7.1.2024,4125000,1.7,2187594,3715000,-10%,14826,0.40%,3537672,95%,3640603,3605274,3574367,3537672,98%,3.8,97%,7.5,96%,11.3,95%,15.0
65,Бренд 4 ,VK (NativeRoll),"""Женщины 25-45 с детьми, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound on,1.10.2023,8.10.2023,4242857,3.0,1365469,4150764,-2%,59633,1.44%,3951729,95%,4050152,4016137,3985863,3951729,98%,3.8,97%,7.5,96%,11.3,95%,15.0
59,Бренд 2,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound off,2.10.2023,8.10.2023,4125000,1.7,1972083,3390957,-18%,43145,1.27%,3223711,95%,3299687,3272060,3248640,3223711,97%,3.8,96%,7.5,96%,11.3,95%,15.0
408,Бренд 1,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound on,1.1.2024,7.1.2024,4125000,1.8,2231767,4122712,-0%,57428,1.39%,3917735,95%,4039301,4001338,3963251,3917735,98%,3.8,97%,7.5,96%,11.3,95%,15.0
53,Бренд 1,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound on,1.10.2023,8.10.2023,3915956,2.1,1825913,3917428,0%,48985,1.25%,3722017,95%,3812150,3779778,3751950,3722017,97%,3.8,96%,7.5,96%,11.3,95%,15.0
160,Бренд 3,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound off,23.10.2023,29.10.2023,6000000,7.9,356659,2831688,-53%,31196,1.10%,2689363,95%,2759302,2736576,2714354,2689363,97%,3.8,97%,7.5,96%,11.3,95%,15.0
431,Бренд 4 ,VK (NativeRoll),"""Женщины 25-45 с детьми, десктоп+мобайл, частота = 2 в неделю, гео РФ"",""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,10,unskippable,sound on,1.1.2024,7.1.2024,4125000,1.8,2275966,4123044,-0%,57165,1.39%,3914478,95%,4037049,3998453,3960072,3914478,98%,2.5,97%,5.0,96%,7.5,95%,10.0
257,Бренд 5,VK (NativeRoll),W w/kids 6-8.   All Russia,,,CPM,15,unskippable,sound off,13.11.2023,19.11.2023,3000000,7.0,431463,3000000,0%,47489,1.58%,2842919,95%,2934304,2905382,2875344,2842919,98%,3.8,97%,7.5,96%,11.3,95%,15.0
275,Бренд 2,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound off,20.11.2023,26.11.2023,4125000,1.7,2473010,4125000,0%,53977,1.31%,3908395,95%,4029974,3991617,3954528,3908395,98%,3.8,97%,7.5,96%,11.3,95%,15.0
256,Бренд 5,VK (NativeRoll),W w/kids 3-5.   All Russia,,,CPM,15,unskippable,sound off,13.11.2023,19.11.2023,3000000,6.9,432373,3000000,0%,48068,1.60%,2842233,95%,2934305,2905176,2875078,2842233,98%,3.8,97%,7.5,96%,11.3,95%,15.0
218,Бренд 3,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound off,30.10.2023,5.11.2023,6000000,1.8,802006,1413856,-76%,16042,1.13%,1337944,95%,1381554,1366735,1353084,1337944,98%,3.8,97%,7.5,96%,11.3,95%,15.0
293,Бренд 1,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound on,20.11.2023,26.11.2023,6000000,1.8,3356495,6000000,0%,78980,1.32%,5664813,94%,5849792,5793819,5737556,5664813,97%,3.8,97%,7.5,96%,11.3,94%,15.0
410,Бренд 1,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound on,8.1.2024,14.1.2024,4125000,1.8,2287405,4123428,-0%,58061,1.41%,3868297,94%,4021651,3976027,3930352,3868297,98%,3.8,96%,7.5,95%,11.3,94%,15.0
259,Бренд 3,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound off,13.11.2023,19.11.2023,6000000,6.9,971426,6739757,12%,52864,0.78%,6316493,94%,6499902,6441064,6385552,6316493,96%,3.8,96%,7.5,95%,11.3,94%,15.0
433,Бренд 4 ,VK (NativeRoll),"""Женщины 25-45 с детьми, десктоп+мобайл, частота = 2 в неделю, гео РФ"",""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,10,unskippable,sound on,8.1.2024,14.1.2024,4125000,1.8,2342510,4122577,-0%,58106,1.41%,3863634,94%,4017199,3971280,3925573,3863634,97%,2.5,96%,5.0,95%,7.5,94%,10.0
388,Бренд 2,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound off,8.1.2024,14.1.2024,4125000,1.6,2516915,4125000,0%,20001,0.48%,3865532,94%,4028575,3971474,3922282,3865532,98%,3.8,96%,7.5,95%,11.3,94%,15.0
210,Бренд 5,VK (NativeRoll),W w/kids 6-8.   All Russia,,pre-rolls,CPM,15,unskippable,sound off,30.10.2023,5.11.2023,2977413,1.9,1240863,2335786,-22%,48774,2.09%,2188107,94%,2275746,2246513,2218884,2188107,97%,3.8,96%,7.5,95%,11.3,94%,15.0
211,Бренд 5,VK (NativeRoll),W w/kids 3-5.   All Russia,,pre-rolls,CPM,15,unskippable,sound off,30.10.2023,5.11.2023,2977413,1.9,1222134,2336340,-22%,49891,2.14%,2186384,94%,2274403,2245294,2217692,2186384,97%,3.8,96%,7.5,95%,11.3,94%,15.0
351,Бренд 3,Moe video,"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,in games,CPM,15,70% unskippable,sound on,18.12.2023,24.12.2023,14952174,2.1,7018381,14955120,0%,265565,1.78%,13989493,94%,14573143,14322840,14095746,13989493,97%,3.8,96%,7.5,94%,11.3,94%,15.0
17,Бренд 5,VK (NativeRoll),W w/kids 3-5.   All Russia,,pre-rolls,CPM,15,unskippable,sound on,25.9.2023,30.9.2023,5250000,9.6,1132433,10872061,107%,160320,1.47%,10167704,94%,10469388,10349294,10253862,10167704,96%,3.8,95%,7.5,94%,11.3,94%,15.0
168,Бренд 5,VK (NativeRoll),W w/kids 6-8.   All Russia,,pre-rolls,CPM,15,unskippable,sound off,23.10.2023,29.10.2023,3000000,1.9,1238960,2309018,-23%,43753,1.89%,2158698,93%,2248991,2218882,2190178,2158698,97%,3.8,96%,7.5,95%,11.3,93%,15.0
166,Бренд 5,VK (NativeRoll),W w/kids 3-5.   All Russia,,pre-rolls,CPM,15,unskippable,sound off,23.10.2023,29.10.2023,3000000,1.9,1234078,2307781,-23%,44650,1.93%,2155926,93%,2246580,2216582,2188028,2155926,97%,3.8,96%,7.5,95%,11.3,93%,15.0
220,Бренд 3,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound off,6.11.2023,12.11.2023,6000000,1.6,955941,1563846,-74%,19199,1.23%,1459125,93%,1510105,1492391,1476483,1459125,97%,3.8,95%,7.5,94%,11.3,93%,15.0
71,Бренд 5,VK (NativeRoll),W w/kids 6-8.   All Russia,,pre-rolls,CPM,15,unskippable,sound off,1.10.2023,8.10.2023,3600000,2.3,1222721,2839365,-21%,46520,1.64%,2648478,93%,2758549,2720150,2686684,2648478,97%,3.8,96%,7.5,95%,11.3,93%,15.0
402,Бренд 2,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound off,15.1.2024,21.1.2024,4125000,1.5,2144807,3113404,-25%,16174,0.52%,2903251,93%,3031502,2986938,2947949,2903251,97%,3.8,96%,7.5,95%,11.3,93%,15.0
277,Бренд 3,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound off,20.11.2023,26.11.2023,6000000,1.6,757994,1186421,-80%,11628,0.98%,1104667,93%,1145775,1131802,1119767,1104667,97%,3.8,95%,7.5,94%,11.3,93%,15.0
24,Бренд 5,VK (NativeRoll),W w/kids 6-8.   All Russia,,pre-rolls,CPM,15,unskippable,sound on,25.9.2023,30.9.2023,5250000,9.1,1022506,9255425,76%,139233,1.50%,8615916,93%,8897090,8782900,8704210,8615916,96%,3.8,95%,7.5,94%,11.3,93%,15.0
468,Бренд 4 ,Moe video,"""Женщины 25-45 с детьми, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,10,skippable as of sec 5,sound off,1.2.2024,4.2.2024,3391375,2.1,1642632,3392563,0%,69807,2.06%,3151699,93%,3339466,3258501,3203558,3151699,98%,2.5,96%,5.0,94%,7.5,93%,10.0
435,Бренд 4 ,VK (NativeRoll),"""Женщины 25-45 с детьми, десктоп+мобайл, частота = 2 в неделю, гео РФ"",""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,10,unskippable,sound on,15.1.2024,21.1.2024,4125000,1.7,2396054,4125000,0%,59992,1.45%,3829937,93%,4003851,3953306,3904443,3829937,97%,2.5,96%,5.0,95%,7.5,93%,10.0
350,Бренд 2,Moe video,"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,15,unskippable,50-70% sound on,18.12.2023,24.12.2023,17203478,2.3,7550678,17209031,0%,314816,1.83%,15966260,93%,16741327,16400521,16094604,15966260,97%,3.8,95%,7.5,94%,11.3,93%,15.0
321,Бренд 3,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound off,27.11.2023,30.11.2023,3428571,1.6,460599,740092,-78%,7341,0.99%,686435,93%,715711,706204,697717,686435,97%,3.8,95%,7.5,94%,11.3,93%,15.0
456,Бренд 2,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound off,22.1.2024,28.1.2024,4125000,1.4,1927318,2685937,-35%,15899,0.59%,2483354,92%,2606232,2563459,2525900,2483354,97%,3.8,95%,7.5,94%,11.3,92%,15.0
446,Бренд 4 ,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,10,unskippable,sound on,22.1.2024,28.1.2024,4125000,1.7,2439776,4124432,-0%,62168,1.51%,3811240,92%,3989400,3937290,3887318,3811240,97%,2.5,95%,5.0,94%,7.5,92%,10.0
214,Бренд 5,VK (NativeRoll),W w/kids 6-8.   All Russia,,pre-rolls,CPM,15,unskippable,sound off,6.11.2023,12.11.2023,3000000,1.8,1268697,2343454,-22%,48859,2.08%,2164824,92%,2262131,2229761,2199222,2164824,97%,3.8,95%,7.5,94%,11.3,92%,15.0
215,Бренд 5,VK (NativeRoll),W w/kids 3-5.   All Russia,,,240,,15,unskippable,,12.11.2023,3000000,1.8,1267265,2343386,-22%,49681,2.12%,2163398,92%,2260331,2227858,2197790,2163398,96%,0.0,95%,0.0,94%,0.0,92%,0.0
236,Бренд 5,VK (NativeRoll),W w/kids 3-5.   All Russia,,pre-rolls,CPM,15,unskippable,sound off,6.11.2023,12.11.2023,3000000,1.8,1267265,2343386,-22%,49681,2.12%,2163398,92%,2260331,2227858,2197790,2163398,96%,3.8,95%,7.5,94%,11.3,92%,15.0
265,Бренд 4 ,Moe video,"""Женщины 25-45 с детьми, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,10,skippable as of sec 5,sound off,20.11.2023,26.11.2023,3500000,1.7,2073640,3501014,0%,37024,1.06%,3230184,92%,3426357,3374921,3314209,3230184,98%,2.5,96%,5.0,95%,7.5,92%,10.0
485,Бренд 4 ,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,10,unskippable,sound on,29.1.2024,31.1.2024,1178571,1.3,903476,1178273,-0%,17783,1.51%,1086708,92%,1137721,1122858,1108535,1086708,97%,2.5,95%,5.0,94%,7.5,92%,10.0
371,Бренд 1,Moe video,"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,15,unskippable,50-70% sound on,1.1.2024,7.1.2024,4500000,2.2,2046279,4500561,0%,107857,2.40%,4121512,92%,4363973,4276663,4154869,4121512,97%,3.8,95%,7.5,92%,11.3,92%,15.0
244,Бренд 4 ,Moe video,"""Женщины 25-45 с детьми, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,10,skippable as of sec 5,sound off,13.11.2023,19.11.2023,3500000,2.2,1604904,3500749,0%,37882,1.08%,3200754,91%,3412446,3354726,3289712,3200754,97%,2.5,96%,5.0,94%,7.5,91%,10.0
373,Бренд 2,Moe video,"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,15,unskippable,50-70% sound on,1.1.2024,7.1.2024,3586018,2.2,1663326,3586605,0%,85807,2.39%,3272377,91%,3471631,3401884,3301753,3272377,97%,3.8,95%,7.5,92%,11.3,91%,15.0
181,Бренд 3,Moe video,"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,15,unskippable,50-70% sound on,6.11.2023,12.11.2023,8000000,1.7,4646900,8000265,0%,228255,2.85%,7298794,91%,7592565,7504167,7338922,7298794,95%,3.8,94%,7.5,92%,11.3,91%,15.0
176,Бренд 3,Moe video,"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,15,unskippable,50-70% sound on,30.10.2023,5.11.2023,8000000,1.7,4821832,8001821,0%,277313,3.47%,7286360,91%,7710151,7580113,7347193,7286360,96%,3.8,95%,7.5,92%,11.3,91%,15.0
195,Бренд 5,Hyper,W w/kids 3-5.   All Russia,,,240,,15,70% unskippable,,12.11.2023,3000000,2.6,1170854,3000641,0%,29223,0.97%,2730583,91%,2937628,2856610,2805599,2730583,98%,0.0,95%,0.0,93%,0.0,91%,0.0
475,Бренд 3,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",Snow,pre-rolls,CPM,15,unskippable,sound off,30.1.2024,31.1.2024,1333333,1.6,21245,34706,-97%,371,1.07%,31550,91%,33413,32765,32148,31550,96%,3.8,94%,7.5,93%,11.3,91%,15.0
474,Бренд 3,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",Icecream,pre-rolls,CPM,15,unskippable,sound off,30.1.2024,31.1.2024,1333333,2.4,53950,131619,-90%,1409,1.07%,119358,91%,127032,124432,12174,119358,97%,3.8,95%,7.5,9%,11.3,91%,15.0
263,Бренд 3,Moe video,"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,in games,CPM,15,70% unskippable,sound on,20.11.2023,26.11.2023,8000000,1.7,4587514,8002344,0%,191765,2.40%,7220528,90%,7526468,7438769,7270036,7220528,94%,3.8,93%,7.5,91%,11.3,90%,15.0
334,Бренд 4 ,Moe video,"""Женщины 25-45 с детьми, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,10,skippable as of sec 5,sound off,4.12.2023,10.12.2023,6642967,2.0,3257528,6645942,0%,63556,0.96%,5991738,90%,6471979,6312576,6181680,5991738,97%,2.5,95%,5.0,93%,7.5,90%,10.0
467,Бренд 1,Moe video,"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,15,unskippable,50-70% sound on,1.2.2024,4.2.2024,3142857,1.9,1619309,3143711,0%,125518,3.99%,2828171,90%,3034960,2946777,2851318,2828171,97%,3.8,94%,7.5,91%,11.3,90%,15.0
41,Бренд 1,Moe video,"""Женщины 25-45 с детьми, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,15,unskippable,50-70% sound on,1.10.2023,8.10.2023,6353740,2.0,3179106,6355605,0%,103326,1.63%,5709791,90%,6081328,5927065,5802627,5709791,96%,3.8,93%,7.5,91%,11.3,90%,15.0
473,Бренд 3,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",Run,pre-rolls,CPM,15,unskippable,sound off,30.1.2024,31.1.2024,1333333,2.6,205999,534879,-60%,5742,1.07%,480226,90%,514611,502963,490958,480226,96%,3.8,94%,7.5,92%,11.3,90%,15.0
312,Бренд 3,Moe video,"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,in games,CPM,15,70% unskippable,sound on,27.11.2023,3.12.2023,10979503,2.2,5052262,10983940,0%,187115,1.70%,9859664,90%,10355218,10095538,9919955,9859664,94%,3.8,92%,7.5,90%,11.3,90%,15.0
372,Бренд 4 ,Moe video,"""Женщины 25-45 с детьми, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,10,skippable as of sec 5,sound off,1.1.2024,7.1.2024,4000000,2.3,1766533,4001124,0%,75782,1.89%,3584152,90%,3880844,3786905,3681468,3584152,97%,2.5,95%,5.0,92%,7.5,90%,10.0
43,Бренд 4 ,Moe video,"""Женщины 25-45 с детьми, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,15,skippable as of sec 5,sound off,1.10.2023,8.10.2023,5828571,2.0,2968975,5829849,0%,79761,1.37%,5166506,89%,5548838,5385796,5257305,5166506,95%,3.8,92%,7.5,90%,11.3,89%,15.0
222,Бренд 5,Hyper,W w/kids 3-5.   All Russia,,in games,CPM,15,70% unskippable,sound on,30.10.2023,5.11.2023,3000000,2.4,1246018,2986806,-0%,32018,1.07%,2640337,88%,2858373,2795650,2732927,2640337,96%,3.8,94%,7.5,91%,11.3,88%,15.0
445,Бренд 4 ,Moe video,"""Женщины 25-45 с детьми, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,10,skippable as of sec 5,sound off,22.1.2024,28.1.2024,3866869,2.1,1827466,3867404,0%,40303,1.04%,3410787,88%,3718690,3624418,3516404,3410787,96%,2.5,94%,5.0,91%,7.5,88%,10.0
381,Бренд 1,Moe video,"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,15,unskippable,50-70% sound on,8.1.2024,14.1.2024,4500000,2.1,2167848,4500790,0%,104032,2.31%,3967476,88%,4277874,4167368,4024721,3967476,95%,3.8,93%,7.5,89%,11.3,88%,15.0
396,Бренд 4 ,Moe video,"""Женщины 25-45 с детьми, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,10,skippable as of sec 5,sound off,15.1.2024,21.1.2024,4000000,2.1,1910736,4000802,0%,38940,0.97%,3525671,88%,3830750,3731279,3619337,3525671,96%,2.5,93%,5.0,90%,7.5,88%,10.0
382,Бренд 2,Moe video,"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,15,unskippable,50-70% sound on,8.1.2024,14.1.2024,4400000,2.0,2174074,4400752,0%,100244,2.28%,3875109,88%,4179393,4071742,3932693,3875109,95%,3.8,93%,7.5,89%,11.3,88%,15.0
